id_cliente,segmento_comprador,pais,ciudad
CUST00001,Primera vez,Colombia,Bogotá
CUST00002,Alto patrimonio,Mexico,Ciudad de México
CUST00003,Inversionista,Mexico,Ciudad de México
CUST00004,Inversionista,Colombia,Bogotá
CUST00005,Primera vez,Mexico,Ciudad de México
CUST00006,Primera vez,Mexico,Ciudad de México
CUST00007,Primera vez,Mexico,Ciudad de México
CUST00008,Alto patrimonio,Colombia,Bogotá
CUST00009,Inversionista,Mexico,Ciudad de México
CUST00010,Inversionista,Colombia,Bogotá
CUST00011,Primera vez,Colombia,Bogotá
CUST00012,Alto patrimonio,Colombia,Bogotá
CUST00013,Inversionista,Mexico,Ciudad de México
CUST00014,Primera vez,Mexico,Ciudad de México
CUST00015,Primera vez,Mexico,Ciudad de México
CUST00016,Primera vez,Mexico,Ciudad de México
CUST00017,Primera vez,Colombia,Bogotá
CUST00018,Primera vez,Colombia,Bogotá
CUST00019,Primera vez,Colombia,Bogotá
CUST00020,Primera vez,Colombia,Bogotá
CUST00021,Inversionista,Colombia,Bogotá
CUST00022,Primera vez,Colombia,Bogotá
CUST00023,Primera vez,Colombia,Bogotá
CUST00024,Primera vez,Colombia,Bogotá
CUST00025,Primera vez,Colombia,Bogotá
CUST00026,Inversionista,Colombia,Bogotá
CUST00027,Primera vez,Mexico,Ciudad de México
CUST00028,Primera vez,Mexico,Ciudad de México
CUST00029,Inversionista,Mexico,Ciudad de México
CUST00030,Primera vez,Colombia,Bogotá
CUST00031,Inversionista,Colombia,Bogotá
CUST00032,Primera vez,Mexico,Ciudad de México
CUST00033,Primera vez,Colombia,Bogotá
CUST00034,Alto patrimonio,Colombia,Bogotá
CUST00035,Alto patrimonio,Colombia,Bogotá
CUST00036,Inversionista,Colombia,Bogotá
CUST00037,Primera vez,Colombia,Bogotá
CUST00038,Primera vez,Colombia,Bogotá
CUST00039,Inversionista,Mexico,Ciudad de México
CUST00040,Primera vez,Colombia,Bogotá
CUST00041,Primera vez,Colombia,Bogotá
CUST00042,Primera vez,Mexico,Ciudad de México
CUST00043,Primera vez,Colombia,Bogotá
CUST00044,Alto patrimonio,Colombia,Bogotá
CUST00045,Primera vez,Mexico,Ciudad de México
CUST00046,Inversionista,Colombia,Bogotá
CUST00047,Primera vez,Colombia,Bogotá
CUST00048,Primera vez,Colombia,Bogotá
CUST00049,Primera vez,Colombia,Bogotá
CUST00050,Primera vez,Mexico,Ciudad de México
CUST00051,Alto patrimonio,Mexico,Ciudad de México
CUST00052,Inversionista,Colombia,Bogotá
CUST00053,Alto patrimonio,Mexico,Ciudad de México
CUST00054,Alto patrimonio,Colombia,Bogotá
